time,vx, vy, vtheta
3.71,0.6192,0,0
3.72,0.6144,0,0
3.73,0.6096,0,0
3.74,0.6048,0,0
3.75,0.6,0,0
3.76,0.5952,0,0
3.77,0.5904,0,0
3.78,0.5856,0,0
3.79,0.5808,0,0
3.8,0.576,0,0
3.81,0.5712,0,0
3.82,0.5664,0,0
3.83,0.5616,0,0
3.84,0.5568,0,0
3.85,0.552,0,0
3.86,0.5472,0,0
3.87,0.5424,0,0
3.88,0.5376,0,0
3.89,0.5328,0,0
3.9,0.528,0,0
3.91,0.5232,0,0
3.92,0.5184,0,0
3.93,0.5136,0,0
3.94,0.5088,0,0
3.95,0.504,0,0
3.96,0.4992,0,0
3.97,0.4944,0,0
3.98,0.4896,0,0
3.99,0.4848,0,0
4,0.48,0,0
4.01,0.4752,0,0
4.02,0.4704,0,0
4.03,0.4656,0,0
4.04,0.4608,0,0
4.05,0.456,0,0
4.06,0.4512,0,0
4.07,0.4464,0,0
4.08,0.4416,0,0
4.09,0.4368,0,0
4.1,0.432,0,0
4.11,0.4272,0,0
4.12,0.4224,0,0
4.13,0.4176,0,0
4.14,0.4128,0,0
4.15,0.408,0,0
4.16,0.4032,0,0
4.17,0.3984,0,0
4.18,0.3936,0,0
4.19,0.3888,0,0
4.2,0.384,0,0
4.21,0.3792,0,0
4.22,0.3744,0,0
4.23,0.3696,0,0
4.24,0.3648,0,0
4.25,0.36,0,0
4.26,0.3552,0,0
4.27,0.3504,0,0
4.28,0.3456,0,0
4.29,0.3408,0,0
4.3,0.336,0,0
4.31,0.3312,0,0
4.32,0.3264,0,0
4.33,0.3216,0,0
4.34,0.3168,0,0
4.35,0.312,0,0
4.36,0.3072,0,0
4.37,0.3024,0,0
4.38,0.2976,0,0
4.39,0.2928,0,0
4.4,0.288,0,0
4.41,0.2832,0,0
4.42,0.2784,0,0
4.43,0.2736,0,0
4.44,0.2688,0,0
4.45,0.264,0,0
4.46,0.2592,0,0
4.47,0.2544,0,0
4.48,0.2496,0,0
4.49,0.2448,0,0
4.5,0.24,0,0
4.51,0.2352,0,0
